,fname,ACC,MDR,FAR,MAE,RMSE
591,1768.wav,1.0,0.0,0.0,1.4954547882080078,1.8165063858032227
592,2364.wav,0.8048780560493469,0.19512194395065308,0.09756097197532654,2.8237926959991455,3.4686591625213623
593,1185.wav,1.0,0.0,0.0,0.9180920124053955,1.338156819343567
594,3108.wav,0.7368420958518982,0.2631579041481018,0.0,2.6301138401031494,3.685960054397583
595,2398.wav,0.949999988079071,0.05000000074505806,0.02500000037252903,2.4885292053222656,2.9581544399261475
596,3401.wav,0.9523809552192688,0.0476190485060215,0.0,1.078850269317627,1.3494341373443604
597,2195.wav,0.7435897588729858,0.25641027092933655,0.025641025975346565,1.7511886358261108,2.737058639526367
598,865.wav,0.9750000238418579,0.02500000037252903,0.02500000037252903,1.9023224115371704,2.59114933013916
599,3761.wav,0.9523809552192688,0.0476190485060215,0.0476190485060215,2.663224935531616,3.1207327842712402
600,2628.wav,0.9743589758872986,0.025641025975346565,0.0,2.193845272064209,2.69228196144104
601,1999.wav,0.9268292784690857,0.0731707289814949,0.024390242993831635,2.1652185916900635,2.9490065574645996
602,942.wav,1.0,0.0,0.0,2.551684856414795,2.976478338241577
603,2192.wav,0.9512194991111755,0.04878048598766327,0.0,1.4162278175354004,1.9855307340621948
604,1234.wav,1.0,0.0,0.0,1.381019115447998,1.7998617887496948
605,1108.wav,0.9756097793579102,0.024390242993831635,0.0,3.869769811630249,4.696667671203613
606,2489.wav,0.9750000238418579,0.02500000037252903,0.07500000298023224,1.576258897781372,2.046853542327881
607,3188.wav,0.95652174949646,0.043478261679410934,0.0,0.7261292934417725,0.8063987493515015
608,422.wav,1.0,0.0,0.0,1.2745957374572754,1.5917242765426636
609,357.wav,0.9130434989929199,0.08695652335882187,0.0,1.588718295097351,2.014450788497925
610,1219.wav,0.949999988079071,0.05000000074505806,0.0,0.7786737680435181,1.0746814012527466
611,1766.wav,0.5714285969734192,0.4285714328289032,0.261904776096344,1.820170521736145,2.9032280445098877
612,420.wav,0.6486486196517944,0.3513513505458832,0.0,2.6911909580230713,3.5080647468566895
613,356.wav,0.9523809552192688,0.0476190485060215,0.0,1.3353699445724487,1.777683138847351
614,3900.wav,0.9473684430122375,0.05263157933950424,0.0,0.6444586515426636,0.9411611557006836
615,3742.wav,0.9024389982223511,0.09756097197532654,0.04878048598766327,3.308736562728882,3.958059549331665
616,842.wav,0.9545454382896423,0.04545454680919647,0.0,0.7441294193267822,0.9042087197303772
617,1971.wav,0.8500000238418579,0.15000000596046448,0.02500000037252903,2.871365547180176,3.9429757595062256
618,1350.wav,0.8888888955116272,0.1111111119389534,0.0555555559694767,2.3117926120758057,3.213451862335205
619,3482.wav,0.824999988079071,0.17499999701976776,0.0,2.5820419788360596,3.262977361679077
620,1832.wav,0.761904776096344,0.2380952388048172,0.1666666716337204,3.7149248123168945,4.364846229553223
621,2115.wav,0.9545454382896423,0.04545454680919647,0.0,1.146343469619751,1.500820279121399
622,128.wav,0.9047619104385376,0.095238097012043,0.0,1.1213786602020264,1.4179975986480713
623,785.wav,0.8947368264198303,0.10526315867900848,0.0,0.8560124635696411,1.0795584917068481
624,1671.wav,1.0,0.0,0.0,1.8409825563430786,2.0992636680603027
625,3617.wav,0.9090909361839294,0.09090909361839294,0.0,1.8652368783950806,2.45176362991333
626,1835.wav,1.0,0.0,0.0,1.3056840896606445,1.5673964023590088
627,3581.wav,0.9777777791023254,0.02222222276031971,0.0,1.3892629146575928,1.7054775953292847
628,106.wav,0.8717948794364929,0.12820513546466827,0.1538461595773697,3.0264430046081543,3.8305935859680176
629,97.wav,0.5609756112098694,0.4390243887901306,0.4146341383457184,3.0892632007598877,3.707442283630371
630,2396.wav,0.9285714030265808,0.0714285746216774,0.02380952425301075,2.2296271324157715,3.227959156036377
631,1440.wav,0.949999988079071,0.05000000074505806,0.0,1.1333718299865723,2.0227291584014893
632,2771.wav,0.8444444537162781,0.15555556118488312,0.06666667014360428,2.760920763015747,3.7159194946289062
633,3622.wav,0.9473684430122375,0.05263157933950424,0.0,1.3237255811691284,1.8929134607315063
634,1412.wav,0.9318181872367859,0.06818182021379471,0.0,1.5797381401062012,2.2463436126708984
635,750.wav,0.3913043439388275,0.6086956262588501,0.6086956262588501,9.062765121459961,9.07653522491455
636,407.wav,0.7749999761581421,0.22499999403953552,0.02500000037252903,3.544506788253784,4.395077705383301
637,3927.wav,0.8333333134651184,0.1666666716337204,0.0555555559694767,2.142759323120117,3.049485445022583
638,2060.wav,0.9318181872367859,0.06818182021379471,0.0,2.0013926029205322,2.897975206375122
639,2424.wav,0.9545454382896423,0.04545454680919647,0.0,2.745929718017578,3.2637879848480225
640,3691.wav,0.9444444179534912,0.0555555559694767,0.0,3.0988028049468994,3.7977662086486816
641,863.wav,0.9487179517745972,0.05128205195069313,0.025641025975346565,1.9562087059020996,2.614744186401367
642,1167.wav,0.9318181872367859,0.06818182021379471,0.022727273404598236,1.8748496770858765,2.6297340393066406
643,2801.wav,0.9473684430122375,0.05263157933950424,0.0,2.8957393169403076,3.679340124130249
644,3372.wav,0.8536585569381714,0.1463414579629898,0.0731707289814949,2.480933666229248,3.147761583328247
645,1333.wav,0.5,0.5,0.3611111044883728,3.0969595909118652,4.037173271179199
646,3776.wav,0.8717948794364929,0.12820513546466827,0.05128205195069313,2.285637378692627,2.959242343902588
647,1982.wav,1.0,0.0,0.0,0.7666609287261963,0.9088083505630493
648,1513.wav,1.0,0.0,0.0,2.3967478275299072,2.518240213394165
649,253.wav,0.6578947305679321,0.34210526943206787,0.07894736528396606,2.8948535919189453,3.952592372894287
650,1076.wav,0.7297297120094299,0.2702702581882477,0.10810811072587967,1.6426026821136475,2.184709310531616
651,661.wav,1.0,0.0,0.027027027681469917,2.9174444675445557,3.340327739715576
652,1226.wav,0.9268292784690857,0.0731707289814949,0.024390242993831635,2.135300397872925,2.8302087783813477
653,2173.wav,0.9523809552192688,0.0476190485060215,0.0,2.0316436290740967,2.2864413261413574
654,317.wav,0.9487179517745972,0.05128205195069313,0.025641025975346565,2.1257002353668213,2.71297550201416
655,2887.wav,1.0,0.0,0.0,3.0164103507995605,3.4455130100250244
656,1688.wav,0.9545454382896423,0.04545454680919647,0.0,2.4441027641296387,2.924744129180908
657,1985.wav,0.9285714030265808,0.0714285746216774,0.0476190485060215,2.5485923290252686,3.1591057777404785
658,1354.wav,0.7692307829856873,0.23076923191547394,0.25641027092933655,4.04172420501709,4.513368606567383
659,1773.wav,0.9523809552192688,0.0476190485060215,0.0,1.9037408828735352,2.1931912899017334
660,1851.wav,1.0,0.0,0.0,0.7561654448509216,0.9776300191879272
661,3151.wav,0.9523809552192688,0.0476190485060215,0.0,0.5293832421302795,0.6114277839660645
